time,open,high,low,close,volume
2026-05-29 09:15:00,4528.992,4529.706,4526.808,4527.839,905
2026-05-29 09:20:00,4527.764,4528.25,4522.088,4522.793,699
2026-05-29 09:25:00,4522.557,4532.327,4522.457,4528.723,898
2026-05-29 09:30:00,4528.952,4530.799,4524.682,4528.494,1126
2026-05-29 09:35:00,4528.439,4530.411,4526.628,4528.637,736
2026-05-29 09:40:00,4528.936,4532.657,4527.962,4532.225,653
2026-05-29 09:45:00,4532.29,4537.845,4531.811,4536.989,1098
2026-05-29 09:50:00,4537.057,4539.763,4531.265,4532.766,968
2026-05-29 09:55:00,4532.706,4533.39,4529.648,4531.207,668
2026-05-29 10:00:00,4531.211,4531.211,4525.488,4526.111,542
2026-05-29 10:05:00,4526.135,4528.754,4526.025,4526.264,629
2026-05-29 10:10:00,4526.567,4528.604,4525.736,4528.363,749
2026-05-29 10:15:00,4528.298,4530.285,4525.595,4526.587,719
2026-05-29 10:20:00,4526.918,4527.877,4525.969,4527.49,597
2026-05-29 10:25:00,4527.413,4531.077,4527.288,4530.556,602
2026-05-29 10:30:00,4530.426,4539.175,4530.155,4538.669,953
2026-05-29 10:35:00,4538.73,4543.432,4538.063,4541.46,982
2026-05-29 10:40:00,4541.555,4542.175,4536.192,4537.887,780
2026-05-29 10:45:00,4537.927,4541.039,4536.158,4537.259,848
2026-05-29 10:50:00,4537.323,4539.109,4536.798,4536.798,612
2026-05-29 10:55:00,4536.863,4538.68,4535.166,4538.388,750
2026-05-29 11:00:00,4538.614,4540.538,4535.442,4535.944,912
2026-05-29 11:05:00,4535.929,4537.048,4532.042,4532.634,700
2026-05-29 11:10:00,4532.281,4533.419,4530.735,4532.423,802
2026-05-29 11:15:00,4532.159,4532.643,4529.235,4531.443,772
2026-05-29 11:20:00,4531.681,4534.412,4530.277,4531.364,802
2026-05-29 11:25:00,4531.42,4532.098,4526.924,4528.118,786
2026-05-29 11:30:00,4528.183,4528.625,4525.807,4527.213,752
2026-05-29 11:35:00,4527.168,4528.925,4526.535,4528.484,660
2026-05-29 11:40:00,4528.188,4531.323,4528.17,4530.939,563
2026-05-29 11:45:00,4530.959,4533.831,4529.041,4529.188,587
2026-05-29 11:50:00,4529.082,4535.289,4527.31,4533.809,1618
2026-05-29 11:55:00,4533.868,4538.939,4533.671,4538.213,902
2026-05-29 12:00:00,4538.278,4538.546,4528.13,4529.515,777
2026-05-29 12:05:00,4529.451,4530.522,4527.228,4530.294,1042
2026-05-29 12:10:00,4529.945,4532.075,4526.959,4528.471,951
2026-05-29 12:15:00,4528.409,4531.982,4527.458,4530.214,754
2026-05-29 12:20:00,4530.151,4530.151,4519.79,4523.624,1469
2026-05-29 12:25:00,4523.551,4524.658,4520.504,4522.226,893
2026-05-29 12:30:00,4522.173,4523.646,4514.911,4517.232,1527
2026-05-29 12:35:00,4517.173,4518.928,4515.266,4517.494,1199
2026-05-29 12:40:00,4517.436,4517.911,4512.718,4514.428,1063
2026-05-29 12:45:00,4514.366,4517.9,4512.523,4515.627,1120
2026-05-29 12:50:00,4515.682,4520.094,4514.384,4518.45,1180
2026-05-29 12:55:00,4518.688,4524.002,4516.565,4522.857,1014
2026-05-29 13:00:00,4522.915,4525.661,4516.766,4524.026,2069
2026-05-29 13:05:00,4524.085,4527.064,4515.043,4525.382,1496
2026-05-29 13:10:00,4525.386,4525.574,4520.691,4522.77,1016
2026-05-29 13:15:00,4522.826,4524.251,4521.282,4522.434,1019
2026-05-29 13:20:00,4522.379,4529.225,4522.379,4526.367,1039
2026-05-29 13:25:00,4526.428,4528.292,4525.362,4528.186,1069
2026-05-29 13:30:00,4527.998,4532.149,4524.978,4525.188,2232
2026-05-29 13:35:00,4525.004,4533.081,4522.452,4531.487,2038
2026-05-29 13:40:00,4531.423,4535.228,4530.27,4532.855,1323
2026-05-29 13:45:00,4532.8,4536.933,4529.519,4535.635,1126
2026-05-29 13:50:00,4535.698,4539.219,4531.983,4538.438,1658
2026-05-29 13:55:00,4538.362,4540.785,4535.12,4536.824,1670
2026-05-29 14:00:00,4536.702,4549.304,4535.057,4547.853,2801
2026-05-29 14:05:00,4547.912,4552.607,4546.103,4550.938,2111
2026-05-29 14:10:00,4550.867,4552.715,4543.844,4543.905,1912
2026-05-29 14:15:00,4543.964,4545.081,4537.888,4537.998,1968
2026-05-29 14:20:00,4537.941,4540.397,4530.81,4530.987,1881
2026-05-29 14:25:00,4531.045,4533.389,4526.068,4529.931,2727
2026-05-29 14:30:00,4529.548,4536.399,4525.135,4535.902,2374
2026-05-29 14:35:00,4535.98,4536.636,4530.719,4531.815,1712
2026-05-29 14:40:00,4531.755,4541.945,4531.755,4540.235,2098
2026-05-29 14:45:00,4540.475,4541.106,4536.505,4539.555,1452
2026-05-29 14:50:00,4539.778,4569.288,4539.649,4556.937,5981
2026-05-29 14:55:00,4557.008,4570.499,4555.785,4564.305,4159
2026-05-29 15:00:00,4564.25,4578.581,4564.088,4578.416,4130
